Code produit Fournisseur;Désignation du produit (NOM COMMERCIAL);Prix d'achat HT;Frais de Livraison;Prix de vente conseillé TTC;Ecotaxe;TVA;Delai de livraison;Produit disponible
844;Abelia grandiflora  Kaleidoscope ;26.4;;;0.00;Taux réduit (10%);1 Semaine;Oui
5665;Abelia grandiflora  Kaleidoscope ;38.60;;;;Taux réduit (10%);1 Semaine;Oui
4821;Abelia grandiflora ;25.00;;;;Taux réduit (10%);1 Semaine;Oui
729;Mimosa été;27.80;;;;Taux réduit (10%);1 Semaine;Oui
492;Erable palmatum 'Atropurpureum';29.90;;;;Taux réduit (10%);1 Semaine;Oui
1760;Mimosa été;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
495;Erable palmatum 'Atropurpureum';50.00;;;;Taux réduit (10%);1 Semaine;Oui
4851;Erable palmatum;26.70;;;;Taux réduit (10%);1 Semaine;Oui
2292;Erable palmatum dissectum Atropurpureum;42.00;;;;Taux réduit (10%);1 Semaine;Oui
3590;Erable palmatum dissectum 'Viride';42.00;;;;Taux réduit (10%);1 Semaine;Oui
7403-B7L;Agapanthe ombellatus 'Alba';38.50;;;;Taux réduit (10%);1 Semaine;Oui
3597-BE3L;Agapanthe ombellatus (Bleu);26.60;;;;Taux réduit (10%);1 Semaine;Oui
3597-B3L;Agapanthe ombellatus 'Alba';26.60;;;;Taux réduit (10%);1 Semaine;Oui
7403-BE7L;Agapanthe ombellatus (Bleu);38.50;;;;Taux réduit (10%);1 Semaine;Oui
3100;Agave americana;28.90;;;;Taux réduit (10%);1 Semaine;Oui
150;Agave americana;42.70;;;;Taux réduit (10%);1 Semaine;Oui
7029;Agave americana;57.00;;;;Taux réduit (10%);1 Semaine;Oui
5209;Agave americana  Variegata ;28.90;;;;Taux réduit (10%);1 Semaine;Oui
5211;Agave americana  Variegata ;42.70;;;;Taux réduit (10%);1 Semaine;Oui
5212;Agave americana  Variegata ;57.00;;;;Taux réduit (10%);1 Semaine;Oui
8616;Agave americana  Mediopicta ;44.00;;;;Taux réduit (10%);1 Semaine;Oui
5210;Agave americana  Mediopicta ;33.00;;;;Taux réduit (10%);1 Semaine;Oui
8746;Agave potatorum;33.00;;;;Taux réduit (10%);1 Semaine;Oui
8693;Albizia julibrissin 'Ombrella';31.90;;;;Taux réduit (10%);1 Semaine;Oui
6569;Albizia julibrissin 'Summer chocolate';33.80;;;;Taux réduit (10%);1 Semaine;Oui
4853;Aralia sieboldii;28.30;;;;Taux réduit (10%);1 Semaine;Oui
3594;Aralia sieboldii;39.80;;;;Taux réduit (10%);1 Semaine;Oui
556;Arbousier unedo;27.00;;;;Taux réduit (10%);1 Semaine;Oui
3543;Arbousier unedo;39.80;;;;Taux réduit (10%);1 Semaine;Oui
6570;Aralia sieboldii;58.50;;;;Taux réduit (10%);1 Semaine;Oui
7026;Arbousier unedo;46.90;;;;Taux réduit (10%);1 Semaine;Oui
4857;Canne de provence donax  Variegata ;27.50;;;;Taux réduit (10%);1 Semaine;Oui
5906;Canne de provence donax  Variegata ;41.50;;;;Taux réduit (10%);1 Semaine;Oui
5871;Bamb Hibanobambousa tranquillans Shiro;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5242;Bambou Phyllostachys aurea;45.40;;;;Taux réduit (10%);1 Semaine;Oui
7539;Bambou Fargesia 'Rufa';33.40;;;;Taux réduit (10%);1 Semaine;Oui
5883;Bambou Fargesia 'Rufa';45.40;;;;Taux réduit (10%);1 Semaine;Oui
2903;Bamb Phyllostachys aureosulcata Specta;45.40;;;;Taux réduit (10%);1 Semaine;Oui
3314;Bambou Phyllostachys bissetti;45.40;;;;Taux réduit (10%);1 Semaine;Oui
4859;Bambou Phyllostachys nigra;48.00;;;;Taux réduit (10%);1 Semaine;Oui
5573;Bambou Pseudosasa japonica;45.40;;;;Taux réduit (10%);1 Semaine;Oui
4080;Bignone grandiflora;29.80;;;;Taux réduit (10%);1 Semaine;Oui
311;Palmier capitata;38.64;;;;Taux réduit (10%);1 Semaine;Oui
1802-20;Palmier capitata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
7562;Palmier capitata;118;;;;Taux réduit (10%);1 Semaine;Oui
530;Bignone tagliabuana 'Mme Galen';29.80;;;;Taux réduit (10%);1 Semaine;Oui
8607;Buis sempervirens;30.00;;;;Taux réduit (10%);1 Semaine;Oui
5572;Buis sempervirens;39.80;;;;Taux réduit (10%);1 Semaine;Oui
5901;Buis sempervirens;49.80;;;;Taux réduit (10%);1 Semaine;Oui
8164;Buis sempervirens;78.00;;;;Taux réduit (10%);1 Semaine;Oui
1613;Buis sempervirens;107.00;;;;Taux réduit (10%);1 Semaine;Oui
590;Oiseau de Paradis;28.30;;;;Taux réduit (10%);1 Semaine;Oui
592;Arbuste aux bonbons;26.50;;;;Taux réduit (10%);1 Semaine;Oui
591;Callistemon laevis;26.20;;;;Taux réduit (10%);1 Semaine;Oui
1272;Callistemon laevis;38.20;;;;Taux réduit (10%);1 Semaine;Oui
8199;Callistemon citrinus  Splendens ;26.20;;;;Taux réduit (10%);1 Semaine;Oui
7920;Callistemon citrinus  Splendens ;38.20;;;;Taux réduit (10%);1 Semaine;Oui
7402;Caryopteris clandonensis  Grand bleu ;25.40;;;;Taux réduit (10%);1 Semaine;Oui
1077;Caryopteris incana  Summer Sorbet ;26.60;;;;Taux réduit (10%);1 Semaine;Oui
5849;Caryopteris clandonensis  Wh Surprise ;26.60;;;;Taux réduit (10%);1 Semaine;Oui
7842;Palmier Chamaerops humilis;28.90;;;;Taux réduit (10%);1 Semaine;Oui
8799;Palmier Chamaerops humilis;41.80;;;;Taux réduit (10%);1 Semaine;Oui
8832;Palmier Chamaerops humilis;54.50;;;;Taux réduit (10%);1 Semaine;Oui
1256;Palmier Chamaerops humilis  Vulcano ;44.50;;;;Taux réduit (10%);1 Semaine;Oui
4787;Bambou sacré;26.20;;;;Taux réduit (10%);1 Semaine;Oui
4657;Nandina fire power;26.20;;;;Taux réduit (10%);1 Semaine;Oui
7654-RO3L;Laurier Rose (rose);26.20;;;;Taux réduit (10%);1 Semaine;Oui
694-RO7L;Laurier Rose (rose);38.00;;;;Taux réduit (10%);1 Semaine;Oui
6484-RO14L;Laurier Rose (rose);48.00;;;;Taux réduit (10%);1 Semaine;Oui
3862-RO25L;Laurier Rose (rose);87.50;;;;Taux réduit (10%);1 Semaine;Oui
7654-R3L;Laurier Rose (rouge);26.20;;;;Taux réduit (10%);1 Semaine;Oui
694-R7L;Laurier Rose (rouge);38.00;;;;Taux réduit (10%);1 Semaine;Oui
6484-R14L;Laurier Rose (rouge);48.00;;;;Taux réduit (10%);1 Semaine;Oui
3862-R25L;Laurier Rose (rouge);87.50;;;;Taux réduit (10%);1 Semaine;Oui
7654-B3L;Laurier Rose (blanc);26.20;;;;Taux réduit (10%);1 Semaine;Oui
694-B7L;Laurier Rose (blanc);38.00;;;;Taux réduit (10%);1 Semaine;Oui
6484-B14L;Laurier Rose (blanc);48.00;;;;Taux réduit (10%);1 Semaine;Oui
3862-B25L;Laurier Rose (blanc);87.50;;;;Taux réduit (10%);1 Semaine;Oui
3864;Olivier europea;43.90;;;;Taux réduit (10%);1 Semaine;Oui
7901;Olivier europea;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
2651;Olivier europea;58.00;;;;Taux réduit (10%);1 Semaine;Oui
4843;Olivier europea;94.00;;;;Taux réduit (10%);1 Semaine;Oui
742;Perovskia atriplicifolia;25.00;;;;Taux réduit (10%);1 Semaine;Oui
1719;Palmier des Canaries;27.20;;;;Taux réduit (10%);1 Semaine;Oui
8113;Palmier des Canaries;38.70;;;;Taux réduit (10%);1 Semaine;Oui
4993;Phormium tenax  Purpureum ;29.10;;;;Taux réduit (10%);1 Semaine;Oui
4996;Phormium tenax  Variegatum ;27.90;;;;Taux réduit (10%);1 Semaine;Oui
4997;Phormium tenax  Variegatum ;42.00;;;;Taux réduit (10%);1 Semaine;Oui
743;Phormium tenax;29.10;;;;Taux réduit (10%);1 Semaine;Oui
1055;Photinia  Little Red Robin ;26.20;;;;Taux réduit (10%);1 Semaine;Oui
4671;Photinia  Pink Marble ;27.10;;;;Taux réduit (10%);1 Semaine;Oui
4708;Photinia  Pink Marble ;42.60;;;;Taux réduit (10%);1 Semaine;Oui
744;Photinia  Red Robin ;25.80;;;;Taux réduit (10%);1 Semaine;Oui
3432;Photinia  Red Robin ;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
1541;Photinia  Red Robin ;37.60;;;;Taux réduit (10%);1 Semaine;Oui
7935;Pin parasol;74.50;;;;Taux réduit (10%);1 Semaine;Oui
1468;Pin parasol;109.40;;;;Taux réduit (10%);1 Semaine;Oui
2411;Pittosporum tenuifolium  variegatum ;26.40;;;;Taux réduit (10%);1 Semaine;Oui
519;Pittosporum tenuifolium  variegatum ;39.80;;;;Taux réduit (10%);1 Semaine;Oui
1257;Palmier Chamaerops humilis  Vulcano ;113.00;;;;Taux réduit (10%);1 Semaine;Oui
1350;Palmier Chamaerops humilis  Vulcano ;71.00;;;;Taux réduit (10%);1 Semaine;Oui
2945;Convolvulus cneorum;25.70;;;;Taux réduit (10%);1 Semaine;Oui
1096;Cyprès de Provence  Stricta ;45.10;;;;Taux réduit (10%);1 Semaine;Oui
1099;Cyprès de Provence  Stricta ;65.00;;;;Taux réduit (10%);1 Semaine;Oui
1102;Cyprès de Provence  Stricta ;51.00;;;;Taux réduit (10%);1 Semaine;Oui
1103;Cyprès de Provence  Stricta ;71.00;;;;Taux réduit (10%);1 Semaine;Oui
1094;Cyprès de Provence  Stricta ;104.00;;;;Taux réduit (10%);1 Semaine;Oui
4581;Cyprès de Provence  Totem ;47.00;;;;Taux réduit (10%);1 Semaine;Oui
2336;Cyprès de Provence  Totem ;64.00;;;;Taux réduit (10%);1 Semaine;Oui
2969;Cyprès de Provence  Totem ;85.00;;;;Taux réduit (10%);1 Semaine;Oui
8829;Cycas revoluta;37.10;;;;Taux réduit (10%);1 Semaine;Oui
1092;Cyprès de Provence  Totem ;76.00;;;;Taux réduit (10%);1 Semaine;Oui
5342;Cycas revoluta;52.10;;;;Taux réduit (10%);1 Semaine;Oui
8515;Dasylirion glaucophyllum;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
4451;Dasylirion glaucophyllum;50.00;;;;Taux réduit (10%);1 Semaine;Oui
7284;Delosperma cooperi;24.20;;;;Taux réduit (10%);1 Semaine;Oui
904;Dasylirion glaucophyllum;115.00;;;;Taux réduit (10%);1 Semaine;Oui
6524;Fougère arborescente;60.00;;;;Taux réduit (10%);1 Semaine;Oui
8822;Fougère arborescente;80.00;;;;Taux réduit (10%);1 Semaine;Oui
8823;Fougère arborescente;120.00;;;;Taux réduit (10%);1 Semaine;Oui
9006;Fougère arborescente;182.00;;;;Taux réduit (10%);1 Semaine;Oui
8824;Fougère arborescente;228.00;;;;Taux réduit (10%);1 Semaine;Oui
632;Cordyline;39.80;;;;Taux réduit (10%);1 Semaine;Oui
8690;Cordyline;47.40;;;;Taux réduit (10%);1 Semaine;Oui
631;Cordyline;25.90;;;;Taux réduit (10%);1 Semaine;Oui
4586;Eleagnus eleador;28.00;;;;Taux réduit (10%);1 Semaine;Oui
8290;Néflier du japon;75.00;;;;Taux réduit (10%);1 Semaine;Oui
50;Goyavier du Bresil;27.60;;;;Taux réduit (10%);1 Semaine;Oui
656;Fuchsia ricartoni;25.00;;;;Taux réduit (10%);1 Semaine;Oui
5339;Goyavier du Bresil;43.30;;;;Taux réduit (10%);1 Semaine;Oui
1297;Gaura lindheimeri;25.00;;;;Taux réduit (10%);1 Semaine;Oui
1290;Gaura lindheimeri;25.00;;;;Taux réduit (10%);1 Semaine;Oui
3065;Gunnera manicata;43.40;;;;Taux réduit (10%);1 Semaine;Oui
5111;Helichrysum italicum  Serotinum ;25.00;;;;Taux réduit (10%);1 Semaine;Oui
5120;Gaura lindheimeri  Rosyjane ;25.00;;;;Taux réduit (10%);1 Semaine;Oui
8146-E4/5L;Hortensia macrophylla 'Elbtal';28.30;;;;Taux réduit (10%);1 Semaine;Oui
8146-T4/5L;Hortensia macrophylla 'Teller Kardinal';28.30;;;;Taux réduit (10%);1 Semaine;Oui
8146-L4/5L;Hortensia macrophylla 'Leuchtfeuer';28.30;;;;Taux réduit (10%);1 Semaine;Oui
8146-TL4/5L;Hortensia macrophylla 'Teller libelle';28.30;;;;Taux réduit (10%);1 Semaine;Oui
8146-R4/5L;Hortensia macrophylla 'Rosita';28.30;;;;Taux réduit (10%);1 Semaine;Oui
8146-TM4/5L;Hortensia macrophylla 'Teller messalina';28.30;;;;Taux réduit (10%);1 Semaine;Oui
1502;Hortensia paniculata 'Great star';27.90;;;;Taux réduit (10%);1 Semaine;Oui
1503;Hortensia paniculata 'Phantom';27.90;;;;Taux réduit (10%);1 Semaine;Oui
696;Laurier Sauce;26.00;;;;Taux réduit (10%);1 Semaine;Oui
1025;Hortensia paniculata 'Vanille-Fraise';27.90;;;;Taux réduit (10%);1 Semaine;Oui
2776;Lilas des indes;28.40;;;;Taux réduit (10%);1 Semaine;Oui
1755;Laurier Sauce;28.70;;;;Taux réduit (10%);1 Semaine;Oui
7039;Laurier Sauce;31.70;;;;Taux réduit (10%);1 Semaine;Oui
2616;Laurier Sauce;42.90;;;;Taux réduit (10%);1 Semaine;Oui
7647;Lavande angustifolia;24.10;;;;Taux réduit (10%);1 Semaine;Oui
5379;Lavande intermedia 'Dutch';24.10;;;;Taux réduit (10%);1 Semaine;Oui
5387;Lavande intermedia 'Grosso';24.10;;;;Taux réduit (10%);1 Semaine;Oui
6675;Troëne jonandrum;54.50;;;;Taux réduit (10%);1 Semaine;Oui
3922;Lavande angustifolia 'Hidcote Blue';24.60;;;;Taux réduit (10%);1 Semaine;Oui
5391;Lavande stoechas pedunculata;24.60;;;;Taux réduit (10%);1 Semaine;Oui
1780;Troëne jonandrum;66.80;;;;Taux réduit (10%);1 Semaine;Oui
7912;Troëne jonandrum;118.00;;;;Taux réduit (10%);1 Semaine;Oui
1591;Goji barbarum;25.40;;;;Taux réduit (10%);1 Semaine;Oui
707;Magnolia grandiflora;30.60;;;;Taux réduit (10%);1 Semaine;Oui
2179;Pommier à fleur evereste;27.00;;;;Taux réduit (10%);1 Semaine;Oui
710;Magnolia grandiflora;44.20;;;;Taux réduit (10%);1 Semaine;Oui
6703;Myrte communis tarentina;26.20;;;;Taux réduit (10%);1 Semaine;Oui
4155;Pittosporum tenuifolium  Variegatum ;45.00;;;;Taux réduit (10%);1 Semaine;Oui
1283;Pittosporum tobira;39.90;;;;Taux réduit (10%);1 Semaine;Oui
748;Pittosporum tobira  Nana ;27.40;;;;Taux réduit (10%);1 Semaine;Oui
7609;Pittosporum tobira;26.50;;;;Taux réduit (10%);1 Semaine;Oui
4506;Pittosporum tobira  Nana ;49.00;;;;Taux réduit (10%);1 Semaine;Oui
8497;Polygala myrtifolia;27.10;;;;Taux réduit (10%);1 Semaine;Oui
1340;Polygala myrtifolia;39.80;;;;Taux réduit (10%);1 Semaine;Oui
754;Ceriser à fleurs pissardii;26.40;;;;Taux réduit (10%);1 Semaine;Oui
2938;Chêne vert;31.70;;;;Taux réduit (10%);1 Semaine;Oui
1611;Chêne vert;27.80;;;;Taux réduit (10%);1 Semaine;Oui
1722;Jasmin étoilé;28.40;;;;Taux réduit (10%);1 Semaine;Oui
724;Chêne vert;51.30;;;;Taux réduit (10%);1 Semaine;Oui
3777;Jasmin étoilé;42.90;;;;Taux réduit (10%);1 Semaine;Oui
135;Robinia  Twisty Baby ;62.70;;;;Taux réduit (10%);1 Semaine;Oui
7160;Rosier  Calizia  noa 97400a;25.80;;;;Taux réduit (10%);1 Semaine;Oui
6268;Rosier  Emera  noatraum;25.80;;;;Taux réduit (10%);1 Semaine;Oui
3546;Rosier  Isalia  noat1804;25.80;;;;Taux réduit (10%);1 Semaine;Oui
6274;Rosier  Mareva  noamel;25.80;;;;Taux réduit (10%);1 Semaine;Oui
6494;Rosier  Suneva  noalesae;25.80;;;;Taux réduit (10%);1 Semaine;Oui
7137;Rosier  Vésuvia  noare;25.80;;;;Taux réduit (10%);1 Semaine;Oui
6270;Rosier  Opalia  noaschnee;25.80;;;;Taux réduit (10%);1 Semaine;Oui
6443;Saule integra  Hakuro Nishiki;37.70;;;;Taux réduit (10%);1 Semaine;Oui
3791;Jasmin du brésil;26.20;;;;Taux réduit (10%);1 Semaine;Oui
6290;Saule tortuosa;25.00;;;;Taux réduit (10%);1 Semaine;Oui
3790;Jasmin du brésil;26.20;;;;Taux réduit (10%);1 Semaine;Oui
